Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-0078,TX-GCS-5,Listeria,L. welshimeri,182,44,2802773,36.11,162489,227.46,PRJNA561882,SRR11343936,JAARZN000000000,L8,TX,29.5391,-98.751,296.28,0.2581,0.4599,10.1712,7.843,6.7346,0.9118,47206.9703,0.1671,0.3897,479.6819,409.3362,7.3329,0.1101,36.1987,7.0102,33.633,0.423,37.075,15.6935,1.9519,2.8997,0.0424,10.6427,17.4367,0.4843,45.0703,15.4772,7.0185,0.0,3.8017,0.0263
L7-0082,TX-GCS-5,Listeria,L. welshimeri,134,21,2797143,36.24,258448,182.815,PRJNA561882,SRR11343924,JAARZM000000000,L8,TX,29.5391,-98.751,296.28,0.2581,0.4599,10.1712,7.843,6.7346,0.9118,47206.9703,0.1671,0.3897,479.6819,409.3362,7.3329,0.1101,36.1987,7.0102,33.633,0.423,37.075,15.6935,1.9519,2.8997,0.0424,10.6427,17.4367,0.4843,45.0703,15.4772,7.0185,0.0,3.8017,0.0263
L7-0083,TX-GCS-5,Listeria,L. farberi,181,15,2935814,36.91,1483358,242.54,PRJNA561882,SRR11343913,JAARZL000000000,L7,TX,29.5391,-98.751,296.28,0.2581,0.4599,10.1712,7.843,6.7346,0.9118,47206.9703,0.1671,0.3897,479.6819,409.3362,7.3329,0.1101,36.1987,7.0102,33.633,0.423,37.075,15.6935,1.9519,2.8997,0.0424,10.6427,17.4367,0.4843,45.0703,15.4772,7.0185,0.0,3.8017,0.0263
L7-0084,NC-CMSP-5,Listeria,L. booriae,S5018,32,3576255,41.97,275568,125.903,PRJNA561882,SRR11344187,JAARZK000000000,L12,NC,35.2399,-81.2714,299.21,0.2038,0.0745,3.146,4.89,4.9848,122.4294,265.5375,0.1254,110.5821,42.4487,21.078,6.6976,0.0255,20.3425,2.7699,20.4543,0.931,171.575,9.8994,-0.0274,3.4856,0.5783,16.185,14.6384,0.0842,50.9598,1.8577,1.666,12.1948,1.2412,0.5947
L7-0091,TX-DP-1,Listeria,L. farberi,183,61,3017328,36.75,168881,95.9594,PRJNA561882,SRR11344176,JAARZJ000000000,L7,TX,31.0368,-97.5287,211.82,0.3667,0.3119,6.9501,7.983,9.5248,8.496,35324.0733,0.1716,2.103,509.521,825.5398,16.831,0.0913,46.0976,5.1545,30.8303,0.5041,37.45,14.6284,1.92,3.2404,11.3905,8.5368,6.4989,0.0548,24.5278,0.6141,39.0152,4.4956,2.1735,2.6929
L7-0094,TX-DP-2,Listeria,L. booriae,S5019,55,3520376,41.59,171059,195.685,PRJNA561882,SRR11344165,JAARZI000000000,L12,TX,31.0325,-97.6203,197.72,0.2028,0.1134,10.169,8.394,3.1532,1.4648,51474.4511,0.1616,4.6077,103.255,220.5345,27.1212,0.1134,35.383,5.9894,28.1658,0.5896,37.85,14.6897,1.4874,3.2444,10.4794,8.2985,12.6319,0.4833,24.977,4.9271,36.1961,0.4302,0.336,1.2406
L7-0095,TX-DP-2,Listeria,L. welshimeri,17,19,2827489,36.26,357432,251.217,PRJNA561882,SRR11344061,JAARZH000000000,L8,TX,31.0325,-97.6203,197.72,0.2028,0.1134,10.169,8.394,3.1532,1.4648,51474.4511,0.1616,4.6077,103.255,220.5345,27.1212,0.1134,35.383,5.9894,28.1658,0.5896,37.85,14.6897,1.4874,3.2444,10.4794,8.2985,12.6319,0.4833,24.977,4.9271,36.1961,0.4302,0.336,1.2406
L7-0096,TX-DP-2,Listeria,L. welshimeri,27,12,2800527,36.31,1443678,383.349,PRJNA561882,SRR11344050,JAARZG000000000,L8,TX,31.0325,-97.6203,197.72,0.2028,0.1134,10.169,8.394,3.1532,1.4648,51474.4511,0.1616,4.6077,103.255,220.5345,27.1212,0.1134,35.383,5.9894,28.1658,0.5896,37.85,14.6897,1.4874,3.2444,10.4794,8.2985,12.6319,0.4833,24.977,4.9271,36.1961,0.4302,0.336,1.2406
L7-0100,TX-DP-5,Listeria,L. welshimeri,184,41,2772239,36.23,204561,132.332,PRJNA561882,SRR11344039,JAARZF000000000,L8,TX,31.0275,-97.6006,203.46,0.1582,0.0668,8.7233,8.406,2.3616,2.0249,49145.506,0.155,5.9896,152.0836,282.9918,15.9204,0.1059,54.9882,4.8685,30.2553,0.2993,37.85,14.6897,1.4874,3.2444,13.7902,7.2924,8.3568,0.4847,24.147,3.1427,40.0864,0.7179,0.7128,1.2691
L7-0106,CO-HM-1,Listeria,L. welshimeri,185,23,2774850,36.21,382828,339.161,PRJNA561882,SRR11343900,JAARZE000000000,L8,CO,40.4231,-105.1597,1586.42,0.073,0.1429,2.0648,7.272,2.5114,3.8848,2196.4272,0.0186,0.3971,211.332,197.609,11.1489,0.0217,21.9329,6.7211,6.4208,0.241,7.325,5.579,-11.3858,4.7833,3.7574,7.9649,13.4819,0.0672,8.0278,27.7955,26.8036,2.4821,5.9236,3.6961
L7-0112,MO-CSP-3,Listeria,L. monocytogenes,186,30,2870595,38.08,229930,102.97,PRJNA561882,SRR10019263,VTKT00000000,L1,MO,38.535,-90.5761,128.35,0.3126,0.1884,9.6002,7.638,4.7899,1.4876,50007.5069,0.2114,2.6814,136.9761,355.6927,45.8757,0.099,37.8219,18.8515,20.9851,7.3216,68.5,2.2206,-6.0429,3.9127,2.5876,11.1092,22.7203,1.3314,49.6561,0.1689,0.8758,4.1075,2.6739,4.7694
L7-0115,MO-CSP-4,Listeria,L. monocytogenes,90,14,2948822,37.95,523802,276.166,PRJNA561882,SRR10019258,VTKS00000000,L1,MO,38.5336,-90.5831,124.28,0.1373,0.0302,1.0494,7.458,1.1478,7.1279,1950.0288,0.2164,8.4755,60.1883,205.083,32.0101,0.0248,21.2123,7.5511,10.7473,7.3583,68.5,2.2206,-6.0429,3.9127,2.519,10.9582,21.2584,1.2504,48.9595,0.1643,0.8546,5.011,3.1029,5.9218
L7-0121,NC-CNF-1,Listeria,L. ivanovii,187,27,2911400,36.94,220911,317.558,PRJNA561882,SRR11343889,JAARZD000000000,-,NC,35.937,-79.0672,149.93,0.4886,0.1341,4.1741,4.166,6.6114,282.5688,397.0148,0.3202,73.2114,49.7631,128.1458,22.9566,0.0593,37.3119,6.4384,32.2216,1.6131,147.65,10.9423,-0.0674,3.1414,0.7759,20.3471,12.7846,0.1593,54.2481,0.488,1.0589,6.3026,0.3965,3.4391
L7-0123,NC-CNF-1,Listeria,L. cossartiae,188,9,2830125,38.56,523254,170.82,PRJNA561882,SRR11343877,JAARZC000000000,-,NC,35.937,-79.0672,149.93,0.4886,0.1341,4.1741,4.166,6.6114,282.5688,397.0148,0.3202,73.2114,49.7631,128.1458,22.9566,0.0593,37.3119,6.4384,32.2216,1.6131,147.65,10.9423,-0.0674,3.1414,0.7759,20.3471,12.7846,0.1593,54.2481,0.488,1.0589,6.3026,0.3965,3.4391
L7-0125,NC-CNF-2,Listeria,L. innocua,189,27,2981661,37.24,519873,107.519,PRJNA561882,SRR11344247,JAASWU000000000,L6,NC,35.94,-79.0693,156.72,0.3949,0.1668,3.6806,5.017,4.77,89.0977,381.0827,0.0737,26.8746,32.4687,98.7081,174.0222,0.0347,25.9565,5.6659,19.8579,1.8987,148.925,10.7184,-0.2361,3.1135,0.7438,19.4235,11.9328,0.1503,56.485,0.478,1.1172,6.1035,0.3955,3.1704
L7-0131,OH-WN-1,Listeria,L. monocytogenes,190,10,2899334,38.07,1461064,181.592,PRJNA561882,SRR10019203,VTKR00000000,L1,OH,39.6515,-82.1393,302.1,0.3063,0.162,3.3151,7.376,4.4637,9.8502,5828.3539,0.1232,2.2677,184.6841,235.2396,54.2098,0.0377,34.803,4.5035,14.9115,0.8848,99.85,2.7848,-7.2045,3.9769,0.7122,4.3875,1.7725,0.5079,76.4854,0.7905,0.9889,13.7215,0.3786,0.2551
L7-0132,OH-WN-1,Listeria,L. seeligeri,122,35,2942584,37.15,197635,145.06,PRJNA561882,SRR11344236,JAARZB000000000,L9,OH,39.6515,-82.1393,302.1,0.3063,0.162,3.3151,7.376,4.4637,9.8502,5828.3539,0.1232,2.2677,184.6841,235.2396,54.2098,0.0377,34.803,4.5035,14.9115,0.8848,99.85,2.7848,-7.2045,3.9769,0.7122,4.3875,1.7725,0.5079,76.4854,0.7905,0.9889,13.7215,0.3786,0.2551
L7-0139,OH-WN-3,Listeria,L. monocytogenes,104,12,2840656,38.12,1447169,108.388,PRJNA561882,SRR10019214,VTKQ00000000,L1,OH,39.657,-82.1019,291.39,0.3809,0.2908,5.6521,7.606,7.1202,4.2114,7893.341,0.152,3.1496,215.1442,288.0248,59.2641,0.0395,38.7285,7.2584,18.6462,1.2408,104.075,2.8052,-7.2481,3.967,0.6684,4.2532,1.1822,0.3987,77.0739,0.7778,0.7946,13.8672,0.8126,0.1715
L7-0144,OH-WN-3,Listeria,L. monocytogenes,81,9,2927771,38.02,1518447,183.016,PRJNA561882,SRR10019253,VTKP00000000,L1,OH,39.657,-82.1019,291.39,0.3809,0.2908,5.6521,7.606,7.1202,4.2114,7893.341,0.152,3.1496,215.1442,288.0248,59.2641,0.0395,38.7285,7.2584,18.6462,1.2408,104.075,2.8052,-7.2481,3.967,0.6684,4.2532,1.1822,0.3987,77.0739,0.7778,0.7946,13.8672,0.8126,0.1715
L7-0145,OH-WN-3,Listeria,L. monocytogenes,191,19,2886366,38.04,547980,68.0125,PRJNA561882,SRR10019248,VTKO00000000,L1,OH,39.657,-82.1019,291.39,0.3809,0.2908,5.6521,7.606,7.1202,4.2114,7893.341,0.152,3.1496,215.1442,288.0248,59.2641,0.0395,38.7285,7.2584,18.6462,1.2408,104.075,2.8052,-7.2481,3.967,0.6684,4.2532,1.1822,0.3987,77.0739,0.7778,0.7946,13.8672,0.8126,0.1715
L7-0147,OH-WN-4,Listeria,L. monocytogenes,192,8,2823466,38.16,1443475,177.886,PRJNA561882,SRR10019237,VTKN00000000,L1,OH,39.6572,-82.1478,265.43,0.3189,0.1844,4.2357,7.598,5.5767,3.93,12891.1801,0.1515,5.3332,133.7086,257.8954,52.2644,0.0517,42.5933,7.1112,19.3187,1.6694,99.85,2.7848,-7.2045,3.9769,1.137,4.4398,1.949,0.511,75.5018,1.0534,1.3971,13.152,0.5372,0.3216
L7-0148,OH-WN-4,Listeria,L. monocytogenes,82,16,2964118,37.93,499746,141.588,PRJNA561882,SRR10019228,VTKM00000000,L1,OH,39.6572,-82.1478,265.43,0.3189,0.1844,4.2357,7.598,5.5767,3.93,12891.1801,0.1515,5.3332,133.7086,257.8954,52.2644,0.0517,42.5933,7.1112,19.3187,1.6694,99.85,2.7848,-7.2045,3.9769,1.137,4.4398,1.949,0.511,75.5018,1.0534,1.3971,13.152,0.5372,0.3216
L7-0149,OH-WN-4,Listeria,L. booriae,S5020,39,3846862,41.74,628535,39.5611,PRJNA561882,SRR11344225,JAARZA000000000,L12,OH,39.6572,-82.1478,265.43,0.3189,0.1844,4.2357,7.598,5.5767,3.93,12891.1801,0.1515,5.3332,133.7086,257.8954,52.2644,0.0517,42.5933,7.1112,19.3187,1.6694,99.85,2.7848,-7.2045,3.9769,1.137,4.4398,1.949,0.511,75.5018,1.0534,1.3971,13.152,0.5372,0.3216
L7-0150,OH-WN-4,Listeria,L. seeligeri,24,32,2870193,37.16,189763,100.835,PRJNA561882,SRR11344089,JAARYZ000000000,L9,OH,39.6572,-82.1478,265.43,0.3189,0.1844,4.2357,7.598,5.5767,3.93,12891.1801,0.1515,5.3332,133.7086,257.8954,52.2644,0.0517,42.5933,7.1112,19.3187,1.6694,99.85,2.7848,-7.2045,3.9769,1.137,4.4398,1.949,0.511,75.5018,1.0534,1.3971,13.152,0.5372,0.3216
L7-0153,OH-WN-4,Listeria,L. booriae,S5021,19,3617868,41.99,383678,98.1478,PRJNA561882,SRR11344078,JAARYY000000000,L12,OH,39.6572,-82.1478,265.43,0.3189,0.1844,4.2357,7.598,5.5767,3.93,12891.1801,0.1515,5.3332,133.7086,257.8954,52.2644,0.0517,42.5933,7.1112,19.3187,1.6694,99.85,2.7848,-7.2045,3.9769,1.137,4.4398,1.949,0.511,75.5018,1.0534,1.3971,13.152,0.5372,0.3216
L7-0155,OH-WN-5,Listeria,L. monocytogenes,192,14,2933655,38.02,1514166,149.75,PRJNA561882,SRR10019270,VTKL00000000,L1,OH,39.6573,-82.1305,258.15,0.2811,0.129,2.4729,6.001,3.61,11.3099,1254.1605,0.0463,2.1564,41.1324,103.8032,52.4654,0.0241,25.7069,6.9125,10.1924,4.3894,99.85,2.7848,-7.2045,3.9769,0.7403,4.6618,2.1123,0.5487,75.5258,0.8228,1.2158,13.5976,0.5621,0.2128
L7-0157,OH-WN-5,Listeria,L. monocytogenes,193,8,2873513,38.04,1463005,140.264,PRJNA561882,SRR10019269,VTKK00000000,L1,OH,39.6573,-82.1305,258.15,0.2811,0.129,2.4729,6.001,3.61,11.3099,1254.1605,0.0463,2.1564,41.1324,103.8032,52.4654,0.0241,25.7069,6.9125,10.1924,4.3894,99.85,2.7848,-7.2045,3.9769,0.7403,4.6618,2.1123,0.5487,75.5258,0.8228,1.2158,13.5976,0.5621,0.2128
L7-0163,IN-TR-1,Listeria,L. monocytogenes,58,15,2875922,37.91,476942,119.945,PRJNA561882,SRR10019268,VTKJ00000000,L3,IN,41.1176,-86.5857,216.32,0.2216,0.2436,3.7104,6.124,4.8589,59.9124,1698.5886,0.074,4.0448,45.4693,272.3103,23.8471,0.0309,23.585,7.4029,13.6242,1.8367,62.875,-0.0071,-10.3652,4.1387,0.4441,4.3062,1.985,0.051,24.5323,0.0267,0.771,0.6656,59.6608,7.5573
L7-0171,IN-TR-3,Listeria,L. seeligeri,1,22,2794479,37.26,225617,185.084,PRJNA561882,SRR11344067,JAARYX000000000,L10,IN,41.129,-86.5885,215.88,0.3975,0.6186,19.6934,7.221,11.6705,7.0346,5129.4647,0.158,2.6798,121.1295,418.8131,32.3403,0.0408,32.4077,15.0042,17.5815,4.1384,61.125,-0.1148,-10.1965,4.1377,0.9717,4.0386,1.9403,0.0447,25.237,0.0275,0.8302,0.7635,56.9111,9.2355
L7-0177,IN-TR-3,Listeria,L. seeligeri,72,78,2891049,37.22,320575,138.293,PRJNA561882,SRR11344024,JAARYW000000000,L9,IN,41.129,-86.5885,215.88,0.3975,0.6186,19.6934,7.221,11.6705,7.0346,5129.4647,0.158,2.6798,121.1295,418.8131,32.3403,0.0408,32.4077,15.0042,17.5815,4.1384,61.125,-0.1148,-10.1965,4.1377,0.9717,4.0386,1.9403,0.0447,25.237,0.0275,0.8302,0.7635,56.9111,9.2355
L7-0179,IN-TR-4,Listeria,L. seeligeri,12,59,2953590,37.24,186360,128.834,PRJNA561882,SRR11344013,JAARYV000000000,L9,IN,41.134,-86.5917,214.37,0.1192,0.1412,2.3237,5.506,2.9207,38.2291,612.2672,0.0209,7.6467,38.5051,154.2148,23.5362,0.0246,19.0656,5.8933,9.3347,1.6232,61.125,-0.1148,-10.1965,4.1377,1.2758,4.0781,2.0133,0.042,24.4957,0.0275,0.9107,0.9113,56.0017,10.2439
L7-0181,IN-TR-4,Listeria,L. seeligeri,72,23,2845264,37.26,321332,109.453,PRJNA561882,SRR11344002,JAARYU000000000,L9,IN,41.134,-86.5917,214.37,0.1192,0.1412,2.3237,5.506,2.9207,38.2291,612.2672,0.0209,7.6467,38.5051,154.2148,23.5362,0.0246,19.0656,5.8933,9.3347,1.6232,61.125,-0.1148,-10.1965,4.1377,1.2758,4.0781,2.0133,0.042,24.4957,0.0275,0.9107,0.9113,56.0017,10.2439
L7-0185,IN-TR-5,Listeria,L. seeligeri,4,15,2805115,37.25,533612,214.413,PRJNA561882,SRR11343862,JAARYT000000000,L10,IN,41.1392,-86.597,219.31,0.0951,0.123,2.021,5.754,2.3931,19.3049,869.9756,0.0205,3.8885,41.3812,121.3053,21.9756,0.0221,17.7153,5.0206,8.1326,4.6109,61.125,-0.1148,-10.1965,4.1377,1.3678,4.015,2.0058,0.0346,25.4018,0.0268,1.1163,1.1469,56.0831,8.8018
